pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2,bold_superscript_demo_style_default_missing,bold_text_formatting_demo_id_paraid_overflow_2,both,bold_superscript_demo_style_default_missing.docx,bold_text_formatting_demo_id_paraid_overflow_2.docx,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_redline.docx,,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_redline.docx,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_redline.pdf,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_word_redline_accepted.pdf,
bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow,bold_text_formatting_demo_id_paraid_overflow_2,bold_text_formatting_demo_id_paraid_overflow,both,bold_text_formatting_demo_id_paraid_overflow_2.docx,bold_text_formatting_demo_id_paraid_overflow.docx,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_redline.docx,,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_redline.docx,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_redline.pdf,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_word_redline_accepted.pdf,
bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow,bold_text_formatting_demo_id_paraid_overflow,bold_underline_combined_demo_id_paraid_overflow,both,bold_text_formatting_demo_id_paraid_overflow.docx,bold_underline_combined_demo_id_paraid_overflow.docx,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_redline.docx,,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_redline.docx,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_redline.pdf,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_word_redline_accepted.pdf,
bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow,bold_underline_combined_demo_id_paraid_overflow,bold_underline_highlight_demo_id_paraid_overflow,both,bold_underline_combined_demo_id_paraid_overflow.docx,bold_underline_highlight_demo_id_paraid_overflow.docx,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_redline.docx,,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_redline.docx,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_redline.pdf,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_word_redline_accepted.pdf,
bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow,bold_underline_highlight_demo_id_paraid_overflow,book_catalog_id_paraid_overflow,both,bold_underline_highlight_demo_id_paraid_overflow.docx,book_catalog_id_paraid_overflow.docx,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_redline.docx,,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_redline.docx,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_redline.pdf,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_word_redline_accepted.pdf,
book_catalog_id_paraid_overflow_book_catalog_table,book_catalog_id_paraid_overflow,book_catalog_table,both,book_catalog_id_paraid_overflow.docx,book_catalog_table.docx,book_catalog_id_paraid_overflow_book_catalog_table_redline.docx,,book_catalog_id_paraid_overflow_book_catalog_table_redline.docx,book_catalog_id_paraid_overflow_book_catalog_table_redline.pdf,book_catalog_id_paraid_overflow_book_catalog_table_word_redline_accepted.pdf,
book_catalog_table_budget_report_q1_2026_suggesting_insertions,book_catalog_table,budget_report_q1_2026_suggesting_insertions,both,book_catalog_table.docx,budget_report_q1_2026_suggesting_insertions.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_redline.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline.pdf,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline_accepted.pdf,
budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow,budget_report_q1_2026_suggesting_insertions,bullet_list_bold_demo_id_paraid_overflow,both,budget_report_q1_2026_suggesting_insertions.docx,bullet_list_bold_demo_id_paraid_overflow.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_redline.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline.pdf,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,
bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow,bullet_list_bold_demo_id_paraid_overflow,bullet_list_demo_id_paraid_overflow,both,bullet_list_bold_demo_id_paraid_overflow.docx,bullet_list_demo_id_paraid_overflow.docx,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_redline.docx,,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_redline.docx,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_redline.pdf,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_word_redline_accepted.pdf,
bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow,bullet_list_demo_id_paraid_overflow,calibri_bold_italic_demo_id_paraid_overflow,both,bullet_list_demo_id_paraid_overflow.docx,calibri_bold_italic_demo_id_paraid_overflow.docx,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_redline.docx,,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_redline.docx,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_redline.pdf,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_word_redline_accepted.pdf,
calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2,calibri_bold_italic_demo_id_paraid_overflow,calibri_font_demo_id_paraid_overflow_2,both,calibri_bold_italic_demo_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_2.docx,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_redline.docx,,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_redline.docx,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_redline.pdf,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_word_redline_accepted.pdf,
calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow,calibri_font_demo_id_paraid_overflow_2,calibri_font_demo_id_paraid_overflow,both,calibri_font_demo_id_paraid_overflow_2.docx,calibri_font_demo_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_redline.docx,,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_redline.docx,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_redline.pdf,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_word_redline_accepted.pdf,
calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow,calibri_font_demo_id_paraid_overflow,calibri_heading_2_right_id_paraid_overflow,both,calibri_font_demo_id_paraid_overflow.docx,calibri_heading_2_right_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_redline.docx,,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_redline.docx,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_redline.pdf,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_word_redline_accepted.pdf,
calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow,calibri_heading_2_right_id_paraid_overflow,center_aligned_bold_text_id_paraid_overflow,both,calibri_heading_2_right_id_paraid_overflow.docx,center_aligned_bold_text_id_paraid_overflow.docx,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_redline.docx,,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_redline.docx,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_redline.pdf,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_word_redline_accepted.pdf,
center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2,center_aligned_bold_text_id_paraid_overflow,center_alignment_demo_id_paraid_overflow_2,both,center_aligned_bold_text_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_2.docx,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_redline.docx,,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_redline.docx,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_redline.pdf,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_word_redline_accepted.pdf,
center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow,center_alignment_demo_id_paraid_overflow_2,center_alignment_demo_id_paraid_overflow,both,center_alignment_demo_id_paraid_overflow_2.docx,center_alignment_demo_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_redline.docx,,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_redline.docx,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_redline.pdf,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_word_redline_accepted.pdf,
center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow,center_alignment_demo_id_paraid_overflow,center_bold_demo_id_paraid_overflow,both,center_alignment_demo_id_paraid_overflow.docx,center_bold_demo_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_redline.docx,,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_redline.docx,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_redline.pdf,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,
center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow,center_bold_demo_id_paraid_overflow,clear_formatting_demo_id_paraid_overflow,both,center_bold_demo_id_paraid_overflow.docx,clear_formatting_demo_id_paraid_overflow.docx,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_redline.docx,,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_redline.docx,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_redline.pdf,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_word_redline_accepted.pdf,
clear_formatting_demo_id_paraid_overflow_comments,clear_formatting_demo_id_paraid_overflow,comments,both,clear_formatting_demo_id_paraid_overflow.docx,comments.docx,,clear_formatting_demo_id_paraid_overflow_comments_word_redline.docx,clear_formatting_demo_id_paraid_overflow_comments_word_redline.docx,clear_formatting_demo_id_paraid_overflow_comments_word_redline.pdf,clear_formatting_demo_id_paraid_overflow_comments_word_redline_accepted.pdf,
clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions,clear_formatting_demo_id_paraid_overflow,contract_review_suggesting_insertions,both,clear_formatting_demo_id_paraid_overflow.docx,contract_review_suggesting_insertions.docx,clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions_redline.docx,,clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions_redline.docx,clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions_redline.pdf,MISSING,pdf_accepted
comments_complex_style_attr,comments,complex_style_attr,both,comments.docx,complex_style_attr.docx,,comments_complex_style_attr_word_redline.docx,comments_complex_style_attr_word_redline.docx,comments_complex_style_attr_word_redline.pdf,comments_complex_style_attr_word_redline_accepted.pdf,
complex_style_attr_contract_review_suggesting_insertions,complex_style_attr,contract_review_suggesting_insertions,both,complex_style_attr.docx,contract_review_suggesting_insertions.docx,,complex_style_attr_contract_review_suggesting_insertions_word_redline.docx,complex_style_attr_contract_review_suggesting_insertions_word_redline.docx,complex_style_attr_contract_review_suggesting_insertions_word_redline.pdf,complex_style_attr_contract_review_suggesting_insertions_word_redline_accepted.pdf,
contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits,contract_review_suggesting_insertions,contract_review_suggesting_mixed_edits,both,contract_review_suggesting_insertions.docx,contract_review_suggesting_mixed_edits.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_redline.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline.pdf,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline_accepted.pdf,
contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions,contract_review_suggesting_mixed_edits,customer_satisfaction_survey_q4_suggesting_insertions,both,contract_review_suggesting_mixed_edits.docx,customer_satisfaction_survey_q4_suggesting_insertions.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_redline.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline.pdf,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline_accepted.pdf,
customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow,customer_satisfaction_survey_q4_suggesting_insertions,document_100_ultimate_demo_id_paraid_overflow,both,customer_satisfaction_survey_q4_suggesting_insertions.docx,document_100_ultimate_demo_id_paraid_overflow.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_redline.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline.pdf,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline_accepted.pdf,
document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal,document_100_ultimate_demo_id_paraid_overflow,docx_lots_of_comments_addition_redline_addition_v_removal,both,document_100_ultimate_demo_id_paraid_overflow.docx,docx_lots_of_comments_addition_redline_addition_v_removal.docx,document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline.docx,,document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline.docx,document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline.pdf,MISSING,pdf_accepted
document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow,document_100_ultimate_demo_id_paraid_overflow,double_spacing_bold_demo_id_paraid_overflow,both,document_100_ultimate_demo_id_paraid_overflow.docx,double_spacing_bold_demo_id_paraid_overflow.docx,,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline.docx,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline.docx,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline.pdf,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,
docx_lots_of_comments_addition_docx_lots_of_comments,docx_lots_of_comments_addition,docx_lots_of_comments,both,docx_lots_of_comments_addition.docx,docx_lots_of_comments.docx,docx_lots_of_comments_addition_docx_lots_of_comments_redline.docx,,docx_lots_of_comments_addition_docx_lots_of_comments_redline.docx,docx_lots_of_comments_addition_docx_lots_of_comments_redline.pdf,MISSING,pdf_accepted
docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline,docx_lots_of_comments_addition_redline_addition_v_removal,docx_lots_of_comments_addition_redline,both,docx_lots_of_comments_addition_redline_addition_v_removal.docx,docx_lots_of_comments_addition_redline.docx,docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline.docx,,docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline.docx,docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline.pdf,MISSING,pdf_accepted
docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition,docx_lots_of_comments_addition_redline,docx_lots_of_comments_addition_removal_redline_removal_v_addition,both,docx_lots_of_comments_addition_redline.docx,docx_lots_of_comments_addition_removal_redline_removal_v_addition.docx,docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline.docx,,docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline.docx,docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline.pdf,MISSING,pdf_accepted
docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition,docx_lots_of_comments_addition_removal,docx_lots_of_comments_addition,both,docx_lots_of_comments_addition_removal.docx,docx_lots_of_comments_addition.docx,docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline.docx,,docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline.docx,docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline.pdf,MISSING,pdf_accepted
