pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc,behavior__math_all_objects_36ab389c,behavior__math_delimiter_tests_c9d034dc,superdoc_chain,behavior__math_all_objects_36ab389c.docx,behavior__math_delimiter_tests_c9d034dc.docx,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.docx,,MISSING,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__pageref_standalone_h_7b3ab72e_behavior__pageref_standalone_uppercase_h_7701e07f,behavior__pageref_standalone_h_7b3ab72e,behavior__pageref_standalone_uppercase_h_7701e07f,superdoc_chain,behavior__pageref_standalone_h_7b3ab72e.docx,behavior__pageref_standalone_uppercase_h_7701e07f.docx,behavior__pageref_standalone_h_7b3ab72e_behavior__pageref_standalone_uppercase_h_7701e07f_redline.docx,,MISSING,behavior__pageref_standalone_h_7b3ab72e_behavior__pageref_standalone_uppercase_h_7701e07f_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__pageref_standalone_uppercase_h_7701e07f_behavior__rtl_header_footer_e1ac81f6,behavior__pageref_standalone_uppercase_h_7701e07f,behavior__rtl_header_footer_e1ac81f6,superdoc_chain,behavior__pageref_standalone_uppercase_h_7701e07f.docx,behavior__rtl_header_footer_e1ac81f6.docx,behavior__pageref_standalone_uppercase_h_7701e07f_behavior__rtl_header_footer_e1ac81f6_redline.docx,,MISSING,behavior__pageref_standalone_uppercase_h_7701e07f_behavior__rtl_header_footer_e1ac81f6_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__rtl_header_footer_e1ac81f6_behavior__rtl_mixed_bidi_e955f185,behavior__rtl_header_footer_e1ac81f6,behavior__rtl_mixed_bidi_e955f185,superdoc_chain,behavior__rtl_header_footer_e1ac81f6.docx,behavior__rtl_mixed_bidi_e955f185.docx,behavior__rtl_header_footer_e1ac81f6_behavior__rtl_mixed_bidi_e955f185_redline.docx,,MISSING,behavior__rtl_header_footer_e1ac81f6_behavior__rtl_mixed_bidi_e955f185_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__rtl_mixed_bidi_e955f185_behavior__rtl_page_numpages_54739e26,behavior__rtl_mixed_bidi_e955f185,behavior__rtl_page_numpages_54739e26,superdoc_chain,behavior__rtl_mixed_bidi_e955f185.docx,behavior__rtl_page_numpages_54739e26.docx,behavior__rtl_mixed_bidi_e955f185_behavior__rtl_page_numpages_54739e26_redline.docx,,MISSING,behavior__rtl_mixed_bidi_e955f185_behavior__rtl_page_numpages_54739e26_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__rtl_page_numpages_54739e26_behavior__sd_1960_word_replacement_no_comments_187e8147,behavior__rtl_page_numpages_54739e26,behavior__sd_1960_word_replacement_no_comments_187e8147,superdoc_chain,behavior__rtl_page_numpages_54739e26.docx,behavior__sd_1960_word_replacement_no_comments_187e8147.docx,behavior__rtl_page_numpages_54739e26_behavior__sd_1960_word_replacement_no_comments_187e8147_redline.docx,,MISSING,behavior__rtl_page_numpages_54739e26_behavior__sd_1960_word_replacement_no_comments_187e8147_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_1960_word_replacement_no_comments_187e8147_behavior__sd_2323_image_resize_test_2b8a201a,behavior__sd_1960_word_replacement_no_comments_187e8147,behavior__sd_2323_image_resize_test_2b8a201a,superdoc_chain,behavior__sd_1960_word_replacement_no_comments_187e8147.docx,behavior__sd_2323_image_resize_test_2b8a201a.docx,behavior__sd_1960_word_replacement_no_comments_187e8147_behavior__sd_2323_image_resize_test_2b8a201a_redline.docx,,MISSING,behavior__sd_1960_word_replacement_no_comments_187e8147_behavior__sd_2323_image_resize_test_2b8a201a_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2323_image_resize_test_2b8a201a_behavior__sd_2343_table_border_widths_b5148e83,behavior__sd_2323_image_resize_test_2b8a201a,behavior__sd_2343_table_border_widths_b5148e83,superdoc_chain,behavior__sd_2323_image_resize_test_2b8a201a.docx,behavior__sd_2343_table_border_widths_b5148e83.docx,behavior__sd_2323_image_resize_test_2b8a201a_behavior__sd_2343_table_border_widths_b5148e83_redline.docx,,MISSING,behavior__sd_2323_image_resize_test_2b8a201a_behavior__sd_2343_table_border_widths_b5148e83_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2343_table_border_widths_b5148e83_behavior__sd_2447_toc_tab_alignment_8319c14c,behavior__sd_2343_table_border_widths_b5148e83,behavior__sd_2447_toc_tab_alignment_8319c14c,superdoc_chain,behavior__sd_2343_table_border_widths_b5148e83.docx,behavior__sd_2447_toc_tab_alignment_8319c14c.docx,behavior__sd_2343_table_border_widths_b5148e83_behavior__sd_2447_toc_tab_alignment_8319c14c_redline.docx,,MISSING,behavior__sd_2343_table_border_widths_b5148e83_behavior__sd_2447_toc_tab_alignment_8319c14c_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2447_toc_tab_alignment_8319c14c_behavior__sd_2517_localized_heading_styles_39c2e4a1,behavior__sd_2447_toc_tab_alignment_8319c14c,behavior__sd_2517_localized_heading_styles_39c2e4a1,superdoc_chain,behavior__sd_2447_toc_tab_alignment_8319c14c.docx,behavior__sd_2517_localized_heading_styles_39c2e4a1.docx,behavior__sd_2447_toc_tab_alignment_8319c14c_behavior__sd_2517_localized_heading_styles_39c2e4a1_redline.docx,,MISSING,behavior__sd_2447_toc_tab_alignment_8319c14c_behavior__sd_2517_localized_heading_styles_39c2e4a1_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2517_localized_heading_styles_39c2e4a1_behavior__sd_2672_gridbefore_vmerge_7c895dff,behavior__sd_2517_localized_heading_styles_39c2e4a1,behavior__sd_2672_gridbefore_vmerge_7c895dff,superdoc_chain,behavior__sd_2517_localized_heading_styles_39c2e4a1.docx,behavior__sd_2672_gridbefore_vmerge_7c895dff.docx,behavior__sd_2517_localized_heading_styles_39c2e4a1_behavior__sd_2672_gridbefore_vmerge_7c895dff_redline.docx,,MISSING,behavior__sd_2517_localized_heading_styles_39c2e4a1_behavior__sd_2672_gridbefore_vmerge_7c895dff_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_gridbefore_vmerge_7c895dff_behavior__sd_2672_merged_table_821b922c,behavior__sd_2672_gridbefore_vmerge_7c895dff,behavior__sd_2672_merged_table_821b922c,superdoc_chain,behavior__sd_2672_gridbefore_vmerge_7c895dff.docx,behavior__sd_2672_merged_table_821b922c.docx,behavior__sd_2672_gridbefore_vmerge_7c895dff_behavior__sd_2672_merged_table_821b922c_redline.docx,,MISSING,behavior__sd_2672_gridbefore_vmerge_7c895dff_behavior__sd_2672_merged_table_821b922c_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_merged_table_821b922c_behavior__sd_2672_multipara_cell_4d1f068e,behavior__sd_2672_merged_table_821b922c,behavior__sd_2672_multipara_cell_4d1f068e,superdoc_chain,behavior__sd_2672_merged_table_821b922c.docx,behavior__sd_2672_multipara_cell_4d1f068e.docx,behavior__sd_2672_merged_table_821b922c_behavior__sd_2672_multipara_cell_4d1f068e_redline.docx,,MISSING,behavior__sd_2672_merged_table_821b922c_behavior__sd_2672_multipara_cell_4d1f068e_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_multipara_cell_4d1f068e_behavior__sd_2672_nested_table_dfac08bb,behavior__sd_2672_multipara_cell_4d1f068e,behavior__sd_2672_nested_table_dfac08bb,superdoc_chain,behavior__sd_2672_multipara_cell_4d1f068e.docx,behavior__sd_2672_nested_table_dfac08bb.docx,behavior__sd_2672_multipara_cell_4d1f068e_behavior__sd_2672_nested_table_dfac08bb_redline.docx,,MISSING,behavior__sd_2672_multipara_cell_4d1f068e_behavior__sd_2672_nested_table_dfac08bb_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_nested_table_dfac08bb_behavior__sd_2672_plain_3x3_87943d5d,behavior__sd_2672_nested_table_dfac08bb,behavior__sd_2672_plain_3x3_87943d5d,superdoc_chain,behavior__sd_2672_nested_table_dfac08bb.docx,behavior__sd_2672_plain_3x3_87943d5d.docx,behavior__sd_2672_nested_table_dfac08bb_behavior__sd_2672_plain_3x3_87943d5d_redline.docx,,MISSING,behavior__sd_2672_nested_table_dfac08bb_behavior__sd_2672_plain_3x3_87943d5d_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_plain_3x3_87943d5d_behavior__sd_2672_rtl_table_63bd9d10,behavior__sd_2672_plain_3x3_87943d5d,behavior__sd_2672_rtl_table_63bd9d10,superdoc_chain,behavior__sd_2672_plain_3x3_87943d5d.docx,behavior__sd_2672_rtl_table_63bd9d10.docx,behavior__sd_2672_plain_3x3_87943d5d_behavior__sd_2672_rtl_table_63bd9d10_redline.docx,,MISSING,behavior__sd_2672_plain_3x3_87943d5d_behavior__sd_2672_rtl_table_63bd9d10_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_rtl_table_63bd9d10_behavior__sd_2672_sdt_table_fc038913,behavior__sd_2672_rtl_table_63bd9d10,behavior__sd_2672_sdt_table_fc038913,superdoc_chain,behavior__sd_2672_rtl_table_63bd9d10.docx,behavior__sd_2672_sdt_table_fc038913.docx,behavior__sd_2672_rtl_table_63bd9d10_behavior__sd_2672_sdt_table_fc038913_redline.docx,,MISSING,behavior__sd_2672_rtl_table_63bd9d10_behavior__sd_2672_sdt_table_fc038913_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_sdt_table_fc038913_behavior__sd_2750_borderbox_7cd3768d,behavior__sd_2672_sdt_table_fc038913,behavior__sd_2750_borderbox_7cd3768d,superdoc_chain,behavior__sd_2672_sdt_table_fc038913.docx,behavior__sd_2750_borderbox_7cd3768d.docx,behavior__sd_2672_sdt_table_fc038913_behavior__sd_2750_borderbox_7cd3768d_redline.docx,,MISSING,behavior__sd_2672_sdt_table_fc038913_behavior__sd_2750_borderbox_7cd3768d_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2750_borderbox_7cd3768d_behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc,behavior__sd_2750_borderbox_7cd3768d,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc,superdoc_chain,behavior__sd_2750_borderbox_7cd3768d.docx,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc.docx,behavior__sd_2750_borderbox_7cd3768d_behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc_redline.docx,,MISSING,behavior__sd_2750_borderbox_7cd3768d_behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc_behavior__tiff_image_2d531f83,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc,behavior__tiff_image_2d531f83,superdoc_chain,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc.docx,behavior__tiff_image_2d531f83.docx,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc_behavior__tiff_image_2d531f83_redline.docx,,MISSING,behavior__sd_2888_hyperlink_with_ampersand_aaaac3bc_behavior__tiff_image_2d531f83_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__tiff_image_2d531f83_behavior__two_column_simple_e77be963,behavior__tiff_image_2d531f83,behavior__two_column_simple_e77be963,superdoc_chain,behavior__tiff_image_2d531f83.docx,behavior__two_column_simple_e77be963.docx,behavior__tiff_image_2d531f83_behavior__two_column_simple_e77be963_redline.docx,,MISSING,behavior__tiff_image_2d531f83_behavior__two_column_simple_e77be963_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__two_column_simple_e77be963_behavior__word_native_bullet_circle_80d6f323,behavior__two_column_simple_e77be963,behavior__word_native_bullet_circle_80d6f323,superdoc_chain,behavior__two_column_simple_e77be963.docx,behavior__word_native_bullet_circle_80d6f323.docx,behavior__two_column_simple_e77be963_behavior__word_native_bullet_circle_80d6f323_redline.docx,,MISSING,behavior__two_column_simple_e77be963_behavior__word_native_bullet_circle_80d6f323_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__word_native_bullet_circle_80d6f323_behavior__word_native_bullet_disc_bfbeb2dd,behavior__word_native_bullet_circle_80d6f323,behavior__word_native_bullet_disc_bfbeb2dd,superdoc_chain,behavior__word_native_bullet_circle_80d6f323.docx,behavior__word_native_bullet_disc_bfbeb2dd.docx,behavior__word_native_bullet_circle_80d6f323_behavior__word_native_bullet_disc_bfbeb2dd_redline.docx,,MISSING,behavior__word_native_bullet_circle_80d6f323_behavior__word_native_bullet_disc_bfbeb2dd_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__word_native_bullet_disc_bfbeb2dd_behavior__word_native_bullet_square_da8bb73c,behavior__word_native_bullet_disc_bfbeb2dd,behavior__word_native_bullet_square_da8bb73c,superdoc_chain,behavior__word_native_bullet_disc_bfbeb2dd.docx,behavior__word_native_bullet_square_da8bb73c.docx,behavior__word_native_bullet_disc_bfbeb2dd_behavior__word_native_bullet_square_da8bb73c_redline.docx,,MISSING,behavior__word_native_bullet_disc_bfbeb2dd_behavior__word_native_bullet_square_da8bb73c_redline.pdf,MISSING,accepted_docx; pdf_accepted
doc_api_stories__diff_doc1_835f4535_doc_api_stories__diff_doc2_bc0da0ce,doc_api_stories__diff_doc1_835f4535,doc_api_stories__diff_doc2_bc0da0ce,superdoc_chain,doc_api_stories__diff_doc1_835f4535.docx,doc_api_stories__diff_doc2_bc0da0ce.docx,doc_api_stories__diff_doc1_835f4535_doc_api_stories__diff_doc2_bc0da0ce_redline.docx,,MISSING,doc_api_stories__diff_doc1_835f4535_doc_api_stories__diff_doc2_bc0da0ce_redline.pdf,MISSING,accepted_docx; pdf_accepted
doc_api_stories__diff_doc2_bc0da0ce_doc_api_stories__numwords_8be5f783,doc_api_stories__diff_doc2_bc0da0ce,doc_api_stories__numwords_8be5f783,superdoc_chain,doc_api_stories__diff_doc2_bc0da0ce.docx,doc_api_stories__numwords_8be5f783.docx,doc_api_stories__diff_doc2_bc0da0ce_doc_api_stories__numwords_8be5f783_redline.docx,,MISSING,doc_api_stories__diff_doc2_bc0da0ce_doc_api_stories__numwords_8be5f783_redline.pdf,MISSING,accepted_docx; pdf_accepted
doc_api_stories__numwords_8be5f783_doc_api_stories__sd_2086_header_row_shading_api_9757ca5b,doc_api_stories__numwords_8be5f783,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b,superdoc_chain,doc_api_stories__numwords_8be5f783.docx,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b.docx,doc_api_stories__numwords_8be5f783_doc_api_stories__sd_2086_header_row_shading_api_9757ca5b_redline.docx,,MISSING,doc_api_stories__numwords_8be5f783_doc_api_stories__sd_2086_header_row_shading_api_9757ca5b_redline.pdf,MISSING,accepted_docx; pdf_accepted
doc_api_stories__sd_2086_header_row_shading_api_9757ca5b_doc_api_stories__table_style_options_roundtrip_10222e60,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b,doc_api_stories__table_style_options_roundtrip_10222e60,superdoc_chain,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b.docx,doc_api_stories__table_style_options_roundtrip_10222e60.docx,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b_doc_api_stories__table_style_options_roundtrip_10222e60_redline.docx,,MISSING,doc_api_stories__sd_2086_header_row_shading_api_9757ca5b_doc_api_stories__table_style_options_roundtrip_10222e60_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__basic_list_b4d9bb45_evals__blank_bc294b57,evals__basic_list_b4d9bb45,evals__blank_bc294b57,superdoc_chain,evals__basic_list_b4d9bb45.docx,evals__blank_bc294b57.docx,evals__basic_list_b4d9bb45_evals__blank_bc294b57_redline.docx,,MISSING,evals__basic_list_b4d9bb45_evals__blank_bc294b57_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__blank_bc294b57_evals__comments_doc_79800b37,evals__blank_bc294b57,evals__comments_doc_79800b37,superdoc_chain,evals__blank_bc294b57.docx,evals__comments_doc_79800b37.docx,evals__blank_bc294b57_evals__comments_doc_79800b37_redline.docx,,MISSING,evals__blank_bc294b57_evals__comments_doc_79800b37_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__comments_doc_79800b37_evals__document_9bff7e1b,evals__comments_doc_79800b37,evals__document_9bff7e1b,superdoc_chain,evals__comments_doc_79800b37.docx,evals__document_9bff7e1b.docx,evals__comments_doc_79800b37_evals__document_9bff7e1b_redline.docx,,MISSING,evals__comments_doc_79800b37_evals__document_9bff7e1b_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__document_9bff7e1b_evals__employment_offer_4cf5a872,evals__document_9bff7e1b,evals__employment_offer_4cf5a872,superdoc_chain,evals__document_9bff7e1b.docx,evals__employment_offer_4cf5a872.docx,evals__document_9bff7e1b_evals__employment_offer_4cf5a872_redline.docx,,MISSING,evals__document_9bff7e1b_evals__employment_offer_4cf5a872_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__employment_offer_4cf5a872_evals__lease_agreement_7081191d,evals__employment_offer_4cf5a872,evals__lease_agreement_7081191d,superdoc_chain,evals__employment_offer_4cf5a872.docx,evals__lease_agreement_7081191d.docx,evals__employment_offer_4cf5a872_evals__lease_agreement_7081191d_redline.docx,,MISSING,evals__employment_offer_4cf5a872_evals__lease_agreement_7081191d_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__lease_agreement_7081191d_evals__memorandum_258c774a,evals__lease_agreement_7081191d,evals__memorandum_258c774a,superdoc_chain,evals__lease_agreement_7081191d.docx,evals__memorandum_258c774a.docx,evals__lease_agreement_7081191d_evals__memorandum_258c774a_redline.docx,,MISSING,evals__lease_agreement_7081191d_evals__memorandum_258c774a_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__memorandum_258c774a_evals__nda_7f304918,evals__memorandum_258c774a,evals__nda_7f304918,superdoc_chain,evals__memorandum_258c774a.docx,evals__nda_7f304918.docx,evals__memorandum_258c774a_evals__nda_7f304918_redline.docx,,MISSING,evals__memorandum_258c774a_evals__nda_7f304918_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__nda_7f304918_evals__report_with_formatting_03f385ed,evals__nda_7f304918,evals__report_with_formatting_03f385ed,superdoc_chain,evals__nda_7f304918.docx,evals__report_with_formatting_03f385ed.docx,evals__nda_7f304918_evals__report_with_formatting_03f385ed_redline.docx,,MISSING,evals__nda_7f304918_evals__report_with_formatting_03f385ed_redline.pdf,MISSING,accepted_docx; pdf_accepted
evals__report_with_formatting_03f385ed_evals__table_doc_4d728d83,evals__report_with_formatting_03f385ed,evals__table_doc_4d728d83,superdoc_chain,evals__report_with_formatting_03f385ed.docx,evals__table_doc_4d728d83.docx,evals__report_with_formatting_03f385ed_evals__table_doc_4d728d83_redline.docx,,MISSING,evals__report_with_formatting_03f385ed_evals__table_doc_4d728d83_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__Hello_docx_world_12f11074,super_editor__Google_Docs_Originated_comments___TCs_76ac865d,super_editor__Hello_docx_world_12f11074,superdoc_chain,super_editor__Google_Docs_Originated_comments___TCs_76ac865d.docx,super_editor__Hello_docx_world_12f11074.docx,super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__Hello_docx_world_12f11074_redline.docx,,MISSING,super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__Hello_docx_world_12f11074_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__Hello_docx_world_12f11074_super_editor__SD_978_remove_table_borders_47f7ede7,super_editor__Hello_docx_world_12f11074,super_editor__SD_978_remove_table_borders_47f7ede7,superdoc_chain,super_editor__Hello_docx_world_12f11074.docx,super_editor__SD_978_remove_table_borders_47f7ede7.docx,super_editor__Hello_docx_world_12f11074_super_editor__SD_978_remove_table_borders_47f7ede7_redline.docx,,MISSING,super_editor__Hello_docx_world_12f11074_super_editor__SD_978_remove_table_borders_47f7ede7_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__SD_978_remove_table_borders_47f7ede7_super_editor__WordOriginatedComments_c146be65,super_editor__SD_978_remove_table_borders_47f7ede7,super_editor__WordOriginatedComments_c146be65,superdoc_chain,super_editor__SD_978_remove_table_borders_47f7ede7.docx,super_editor__WordOriginatedComments_c146be65.docx,super_editor__SD_978_remove_table_borders_47f7ede7_super_editor__WordOriginatedComments_c146be65_redline.docx,,MISSING,super_editor__SD_978_remove_table_borders_47f7ede7_super_editor__WordOriginatedComments_c146be65_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__WordOriginatedComments_c146be65_super_editor__advanced_text_78401c31,super_editor__WordOriginatedComments_c146be65,super_editor__advanced_text_78401c31,superdoc_chain,super_editor__WordOriginatedComments_c146be65.docx,super_editor__advanced_text_78401c31.docx,super_editor__WordOriginatedComments_c146be65_super_editor__advanced_text_78401c31_redline.docx,,MISSING,super_editor__WordOriginatedComments_c146be65_super_editor__advanced_text_78401c31_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__advanced_text_78401c31_super_editor__alternateContent_valid_de18b376,super_editor__advanced_text_78401c31,super_editor__alternateContent_valid_de18b376,superdoc_chain,super_editor__advanced_text_78401c31.docx,super_editor__alternateContent_valid_de18b376.docx,super_editor__advanced_text_78401c31_super_editor__alternateContent_valid_de18b376_redline.docx,,MISSING,super_editor__advanced_text_78401c31_super_editor__alternateContent_valid_de18b376_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__alternateContent_valid_de18b376_super_editor__anchor_images_3327faf8,super_editor__alternateContent_valid_de18b376,super_editor__anchor_images_3327faf8,superdoc_chain,super_editor__alternateContent_valid_de18b376.docx,super_editor__anchor_images_3327faf8.docx,super_editor__alternateContent_valid_de18b376_super_editor__anchor_images_3327faf8_redline.docx,,MISSING,super_editor__alternateContent_valid_de18b376_super_editor__anchor_images_3327faf8_redline.pdf,MISSING,accepted_docx; pdf_accepted
