rank	overall	average	min	pages_oracle	pages_cand	page_mismatch	pair
107	68.6448	68.6448	68.6448	1	1	0	file_123_file_124
108	68.7939	68.7939	68.7939	1	1	0	file_155_file_156
109	68.8070	70.6567	64.4910	2	2	0	file_40_file_41
110	68.8088	70.6597	64.4902	3	3	0	file_91_file_92
111	68.8401	68.8401	68.8401	1	1	0	file_85_file_86
112	68.9444	68.9444	68.9444	1	1	0	file_11_file_12
113	68.9452	71.2726	63.5145	2	2	0	file_1_file_2
114	68.9555	68.9555	68.9555	1	1	0	file_192_file_193
115	69.3686	69.3686	69.3686	1	1	0	file_178_file_179
116	69.4882	69.4882	69.4882	1	1	0	file_24_file_25
117	70.3026	70.3026	70.3026	1	1	0	file_104_file_105
118	70.7218	70.7218	70.7218	1	1	0	file_87_file_88
119	70.7733	70.7733	70.7733	1	1	0	file_86_file_87
120	71.0019	71.0019	71.0019	1	1	0	file_61_file_62
121	71.4201	71.4201	71.4201	1	1	0	file_173_file_174
122	71.4249	71.4249	71.4249	1	1	0	file_105_file_106
123	71.5607	71.5607	71.5607	1	1	0	file_90_file_91
124	71.7532	71.7532	71.7532	1	1	0	file_96_file_97
125	72.4480	72.4480	72.4480	1	1	0	file_35_file_36
126	72.5484	72.5484	72.5484	1	1	0	file_102_file_103
127	72.8192	77.4059	62.1170	3	3	0	file_172_file_173
128	72.9626	76.8600	63.8686	3	3	0	file_171_file_172
129	73.1767	73.4519	72.5345	2	2	0	file_134_file_135
130	74.0821	74.0821	74.0821	1	1	0	file_12_file_13
131	74.8924	74.8924	74.8924	1	1	0	file_162_file_163
132	74.9218	74.9218	74.9218	1	1	0	file_23_file_24
133	75.2391	75.2391	75.2391	1	1	0	file_76_file_77
134	75.4023	76.7004	72.3734	3	3	0	file_152_file_153
135	75.5815	75.5815	75.5815	1	1	0	file_60_file_61
136	75.6031	75.6031	75.6031	1	1	0	file_117_file_118
137	75.8228	75.8228	75.8228	1	1	0	file_17_file_18
138	76.2547	76.4599	75.7757	3	3	0	file_92_file_93
139	76.2880	76.6277	75.4955	2	2	0	file_191_file_192
140	76.3207	76.3207	76.3207	1	1	0	file_70_file_71
141	76.3228	76.3228	76.3228	1	1	0	file_71_file_72
142	76.3254	76.5085	75.8983	2	2	0	file_190_file_191
143	76.5861	76.5861	76.5861	1	1	0	file_108_file_109
144	76.7263	76.7263	76.7263	1	1	0	file_54_file_55
145	77.0207	77.0207	77.0207	1	1	0	file_56_file_57
146	77.0936	77.0936	77.0936	1	1	0	file_194_file_195
147	77.2134	77.2134	77.2134	1	1	0	file_57_file_58
148	77.6001	77.8950	76.9121	3	3	0	file_65_file_66
149	77.6686	77.6686	77.6686	1	1	0	file_111_file_112
150	78.4334	78.4334	78.4334	1	1	0	file_136_file_137
151	78.4498	78.5149	78.2977	2	2	0	file_2_file_3
152	78.5076	78.5076	78.5076	1	1	0	file_147_file_148
153	78.5292	78.5292	78.5292	1	1	0	file_39_file_40
154	78.5616	78.5616	78.5616	1	1	0	file_110_file_111
155	78.6354	78.6354	78.6354	1	1	0	file_158_file_159
156	78.7661	78.7661	78.7661	1	1	0	file_149_file_150
157	78.7975	78.7975	78.7975	1	1	0	file_51_file_52
158	78.8397	78.8397	78.8397	1	1	0	file_132_file_133
159	78.8715	78.8715	78.8715	1	1	0	file_89_file_90
160	78.9342	78.9342	78.9342	1	1	0	file_44_file_45
161	78.9611	78.9611	78.9611	1	1	0	file_181_file_182
162	78.9781	78.9781	78.9781	1	1	0	file_32_file_33
163	79.0069	79.0069	79.0069	1	1	0	file_122_file_123
164	79.2280	79.2280	79.2280	1	1	0	file_161_file_162
165	79.2472	79.2472	79.2472	1	1	0	file_150_file_151
166	79.2952	79.2952	79.2952	1	1	0	file_107_file_108
167	79.3517	80.2325	77.2966	3	3	0	file_153_file_154
168	79.4090	79.4090	79.4090	1	1	0	file_182_file_183
169	79.4206	79.4206	79.4206	1	1	0	file_156_file_157
170	79.4947	79.4947	79.4947	1	1	0	file_157_file_158
171	79.5244	79.5244	79.5244	1	1	0	file_128_file_129
172	79.5393	79.5393	79.5393	1	1	0	file_126_file_127
173	79.6020	79.6020	79.6020	1	1	0	file_167_file_168
174	79.6071	79.6071	79.6071	1	1	0	file_25_file_26
175	79.7329	79.7329	79.7329	1	1	0	file_63_file_64
176	79.7480	79.7480	79.7480	1	1	0	file_127_file_128
177	79.8345	79.8345	79.8345	1	1	0	file_116_file_117
178	79.8451	79.8451	79.8451	1	1	0	file_138_file_139
179	79.8484	79.8484	79.8484	1	1	0	file_62_file_63
180	79.8764	79.8764	79.8764	1	1	0	file_118_file_119
181	79.9232	79.9232	79.9232	1	1	0	file_67_file_68
182	79.9373	79.9373	79.9373	1	1	0	file_160_file_161
183	79.9750	79.9750	79.9750	1	1	0	file_81_file_82
184	80.0305	80.0305	80.0305	1	1	0	file_43_file_44
185	80.1221	80.1221	80.1221	1	1	0	file_166_file_167
186	80.1466	80.1466	80.1466	1	1	0	file_84_file_85
187	80.1466	80.1466	80.1466	1	1	0	file_151_file_152
188	80.2158	80.2158	80.2158	1	1	0	file_137_file_138
189	80.2202	80.2202	80.2202	1	1	0	file_38_file_39
190	80.2243	80.2243	80.2243	1	1	0	file_80_file_81
191	80.3560	80.3560	80.3560	1	1	0	file_42_file_43
192	80.4519	80.4519	80.4519	1	1	0	file_93_file_94
193	80.5167	80.5167	80.5167	1	1	0	file_88_file_89
194	80.6289	80.6289	80.6289	1	1	0	file_159_file_160
195	80.9357	80.9357	80.9357	1	1	0	file_66_file_67
196	82.0369	82.0369	82.0369	1	1	0	file_165_file_166
