document,score
docx_lots_of_comments_addition_docx_lots_of_comments,51.318100
subtitle_style_demo_style_default_missing_superscript_demo_id_paraid_overflow_2,51.300600
font_color_demo_style_default_missing_font_family_demo_id_paraid_overflow,51.269400
track_changes_suggesting_heading_id_paraid_overflow_track_changes_suggesting_italic_id_paraid_overflow,51.264300
it_security_policy_v2_suggesting_insertions_italic_and_underline_combo_style_default_missing,51.259500
right_align_bold_demo_id_paraid_overflow_right_aligned_italic_demo_id_paraid_overflow,51.158000
justify_alignment_demo_id_paraid_overflow_2_justify_alignment_demo_id_paraid_overflow,51.084800
center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2,51.077900
green_underline_bullet_list_id_paraid_overflow_heading_1_bold_demo_id_paraid_overflow,51.050300
text_highlight_demo_style_default_missing_times_new_roman_bold_id_paraid_overflow,51.016900
red_bold_text_demo_id_paraid_overflow_red_heading_demo_id_paraid_overflow,50.997700
center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow,50.996900
track_changes_editing_bullet_id_paraid_overflow_track_changes_editing_strikethrough_id_paraid_overflow,50.969000
blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing,50.959600
italic_subscript_demo_style_default_missing_italic_text_formatting_demo_id_paraid_overflow_2,50.947200
subscript_demo_style_default_missing_subtitle_style_demo_id_paraid_overflow,50.945400
superscript_demo_id_paraid_overflow_superscript_demo_style_default_missing,50.928800
meeting_minutes_id_paraid_overflow_meeting_minutes_suggesting_insertions,50.852700
verdana_font_demo_id_paraid_overflow_verdana_italic_centered_demo_id_paraid_overflow,50.843700
center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow,50.730500
heading_1_bold_demo_id_paraid_overflow_heading_1_style_demo_id_paraid_overflow,50.721200
project_proposal_suggesting_insertions_project_tasks_suggesting_insertions_2,50.703200
font_size_18_demo_style_default_missing_font_size_24_demo_id_paraid_overflow,50.669700
increase_indent_demo_id_paraid_overflow_insert_link_demo_id_paraid_overflow,50.649900
small_font_size_demo_id_paraid_overflow_strikethrough_and_italic_combo_id_paraid_overflow,50.592100
red_strikethrough_demo_style_default_missing_right_align_bold_demo_id_paraid_overflow,50.555800
open_sans_font_demo_id_paraid_overflow_2_open_sans_font_demo_id_paraid_overflow,50.495500
right_alignment_demo_id_paraid_overflow_2_right_alignment_demo_id_paraid_overflow,50.493900
open_sans_bold_underline_id_paraid_overflow_open_sans_font_demo_id_paraid_overflow_2,50.395900
strikethrough_bold_demo_id_paraid_overflow_strikethrough_text_demo_id_paraid_overflow,50.330200
times_new_roman_font_id_paraid_overflow_title_style_centered_demo_id_paraid_overflow,50.298800
blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing,50.290100
project_proposal_id_paraid_overflow_project_proposal_suggesting_insertions,50.261500
bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow,50.231800
heading_4_style_demo_id_paraid_overflow_2_heading_4_style_demo_id_paraid_overflow,50.192000
right_aligned_italic_demo_id_paraid_overflow_right_alignment_demo_id_paraid_overflow_2,50.147600
center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow,50.032300
title_style_centered_demo_id_paraid_overflow_title_style_demo_id_paraid_overflow,50.009800
red_heading_demo_id_paraid_overflow_red_strikethrough_demo_style_default_missing,50.002800
subtitle_style_demo_id_paraid_overflow_subtitle_style_demo_style_default_missing,50.000800
calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow,49.963800
font_color_blue_demo_style_default_missing_font_color_demo_style_default_missing,49.904700
left_alignment_demo_id_paraid_overflow_line_spacing_demo_id_paraid_overflow,49.881000
roboto_font_demo_id_paraid_overflow_roboto_underline_demo_id_paraid_overflow,49.872300
strikethrough_and_italic_combo_id_paraid_overflow_strikethrough_bold_demo_id_paraid_overflow,49.871600
large_font_size_demo_id_paraid_overflow_left_alignment_demo_id_paraid_overflow,49.831600
italic_and_underline_combo_style_default_missing_italic_subscript_demo_style_default_missing,49.747000
calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2,49.715100
green_highlight_demo_id_paraid_overflow_green_underline_bullet_list_id_paraid_overflow,49.706800
blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow,49.700800
training_materials_onboarding_program_suggesting_insertions_underline_text_demo_id_paraid_overflow,49.690800
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow,49.686600
bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing,49.668200
bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow,49.633300
yellow_highlight_demo_id_paraid_overflow_yellow_highlight_italic_demo_style_default_missing,49.530300
roboto_font_demo_id_paraid_overflow_2_roboto_font_demo_id_paraid_overflow,49.376200
font_family_demo_id_paraid_overflow_font_size_12_demo_id_paraid_overflow,49.306700
contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions,49.285600
risk_assessment_product_launch_suggesting_insertions_roboto_font_demo_id_paraid_overflow_2,49.261500
font_size_12_demo_id_paraid_overflow_font_size_18_demo_style_default_missing,49.235400
support_tickets_table_support_tickets_summary_id_paraid_overflow,49.190500
inventory_list_suggesting_deletions_inventory_list_suggesting_mixed_edits,49.130200
heading_2_style_demo_id_paraid_overflow_heading_3_center_italic_id_paraid_overflow,49.124600
product_roadmap_2026_suggesting_insertions_project_plan_suggesting_insertions,48.918900
title_style_demo_id_paraid_overflow_title_style_demo_style_default_missing,48.839000
heading_1_style_demo_id_paraid_overflow_heading_2_center_demo_id_paraid_overflow,48.801500
employee_review_john_smith_suggesting_insertions_font_color_blue_demo_style_default_missing,48.788800
track_changes_suggesting_center_id_paraid_overflow_track_changes_suggesting_heading_id_paraid_overflow,48.743700
support_tickets_summary_id_paraid_overflow_text_highlight_demo_style_default_missing,48.682500
meeting_minutes_suggesting_insertions_numbered_list_demo_id_paraid_overflow,48.648800
customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow,48.106700
project_plan_suggesting_insertions_project_proposal_id_paraid_overflow,47.909100
font_size_demo_id_paraid_overflow_green_bold_text_demo_id_paraid_overflow,47.755000
red_bold_heading_demo_style_default_missing_red_bold_text_demo_id_paraid_overflow,47.746800
font_size_24_demo_id_paraid_overflow_font_size_demo_id_paraid_overflow,47.666100
marketing_strategy_2026_suggesting_insertions_meeting_agenda_table_2,47.659500
budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow,47.433900
verdana_bold_large_font_id_paraid_overflow_verdana_font_demo_id_paraid_overflow,47.430000
inventory_list_suggesting_mixed_edits_it_security_policy_v2_suggesting_insertions,47.337600
employee_directory_table_employee_review_john_smith_suggesting_insertions,47.226200
track_changes_suggesting_italic_id_paraid_overflow_track_changes_suggesting_title_id_paraid_overflow,47.008900
right_alignment_demo_id_paraid_overflow_risk_assessment_product_launch_suggesting_insertions,46.894700
roboto_underline_demo_id_paraid_overflow_sales_report_january_2026_suggesting_insertions,46.883200
green_bold_text_demo_id_paraid_overflow_green_highlight_demo_id_paraid_overflow,46.708300
open_sans_font_demo_id_paraid_overflow_product_roadmap_2026_suggesting_insertions,46.694800
1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow,46.219800
book_catalog_table_budget_report_q1_2026_suggesting_insertions,45.929300
superscript_demo_style_default_missing_support_tickets_table,45.750300
book_catalog_id_paraid_overflow_book_catalog_table,45.718800
helvetica_font_demo_style_default_missing_hr_onboarding_checklist_table,45.654000
word_tolerated_broken_media_rel_word_tolerated_duplicate_ppr,45.474000
insert_link_demo_id_paraid_overflow_inventory_list_suggesting_deletions,45.408400
word_tolerated_misplaced_link_word_tolerated_misplaced_pgsz,45.006700
quarterly_performance_report_table_red_bold_heading_demo_style_default_missing,45.005800
clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions,44.992000
word_tolerated_misplaced_pgsz_word_tolerated_misplaced_uipriority,44.884400
project_tasks_suggesting_insertions_2_project_tasks_suggesting_insertions,44.193800
track_changes_suggesting_title_id_paraid_overflow_training_materials_onboarding_program_suggesting_insertions,43.798200
double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits,43.488200
sales_report_january_2026_suggesting_insertions_sample_document_afterword_repaired_word_repaired,43.467500
title_style_demo_style_default_missing_track_changes_editing_bullet_id_paraid_overflow,42.682500
sample_document_word_repair_of_our_output_word_repaired_small_font_size_demo_id_paraid_overflow,42.219500
docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow,41.938300
hr_onboarding_checklist_table_i_am_sharing_microsoft_word_vs_google_docs_comprehensive_proof_with_you,41.887500
verdana_italic_centered_demo_id_paraid_overflow_word_clean_strict01,41.865100
word_tolerated_misplaced_uipriority_word_tolerated_orphan_comment,40.211900
i_am_sharing_microsoft_word_vs_google_docs_comprehensive_proof_with_you_increase_indent_demo_id_paraid_overflow,40.027800
docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition,39.881400
eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2,39.799600
docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline,39.432500
docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline,39.353300
docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal,39.023500
document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal,38.466500
