document,score
customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow,49.811000
calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow,49.782900
font_size_18_demo_style_default_missing_font_size_24_demo_id_paraid_overflow,49.718200
font_size_demo_id_paraid_overflow_green_bold_text_demo_id_paraid_overflow,49.679000
font_color_blue_demo_style_default_missing_font_color_demo_style_default_missing,49.639400
bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow,49.562100
product_roadmap_2026_suggesting_insertions_project_plan_suggesting_insertions,49.515300
meeting_minutes_suggesting_insertions_numbered_list_demo_id_paraid_overflow,49.470700
contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits,49.416800
inventory_list_suggesting_mixed_edits_it_security_policy_v2_suggesting_insertions,49.390600
roboto_font_demo_id_paraid_overflow_2_roboto_font_demo_id_paraid_overflow,49.361600
font_size_24_demo_id_paraid_overflow_font_size_demo_id_paraid_overflow,49.264200
red_bold_text_demo_id_paraid_overflow_red_heading_demo_id_paraid_overflow,49.199600
subtitle_style_demo_id_paraid_overflow_subtitle_style_demo_style_default_missing,49.102200
font_size_12_demo_id_paraid_overflow_font_size_18_demo_style_default_missing,48.928500
right_alignment_demo_id_paraid_overflow_2_right_alignment_demo_id_paraid_overflow,48.906200
calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow,48.796700
heading_2_style_demo_id_paraid_overflow_heading_3_center_italic_id_paraid_overflow,48.747700
superscript_demo_id_paraid_overflow_2_superscript_demo_id_paraid_overflow,48.704500
subtitle_style_demo_style_default_missing_superscript_demo_id_paraid_overflow_2,48.548700
heading_2_center_demo_id_paraid_overflow_heading_2_style_demo_id_paraid_overflow,48.490200
green_underline_bullet_list_id_paraid_overflow_heading_1_bold_demo_id_paraid_overflow,48.440200
heading_3_style_demo_id_paraid_overflow_2_heading_3_style_demo_id_paraid_overflow,48.433200
times_new_roman_font_id_paraid_overflow_title_style_centered_demo_id_paraid_overflow,48.387100
heading_1_style_demo_id_paraid_overflow_heading_2_center_demo_id_paraid_overflow,48.356900
verdana_bold_large_font_id_paraid_overflow_verdana_font_demo_id_paraid_overflow,48.237900
roboto_underline_demo_id_paraid_overflow_sales_report_january_2026_suggesting_insertions,48.090700
1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow,48.034700
blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing,47.873000
heading_1_bold_demo_id_paraid_overflow_heading_1_style_demo_id_paraid_overflow,47.772900
title_style_demo_style_default_missing_track_changes_editing_bullet_id_paraid_overflow,47.581500
blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow,47.480200
red_heading_demo_id_paraid_overflow_red_strikethrough_demo_style_default_missing,47.457700
title_style_centered_demo_id_paraid_overflow_title_style_demo_id_paraid_overflow,47.109100
red_bold_heading_demo_style_default_missing_red_bold_text_demo_id_paraid_overflow,47.103200
title_style_demo_id_paraid_overflow_title_style_demo_style_default_missing,46.861200
q1_sales_summary_table_quarterly_performance_report_table_2,46.808200
track_changes_suggesting_italic_id_paraid_overflow_track_changes_suggesting_title_id_paraid_overflow,46.604300
word_tolerated_broken_media_rel_word_tolerated_duplicate_ppr,46.332300
book_catalog_table_budget_report_q1_2026_suggesting_insertions,45.892400
employee_directory_table_employee_review_john_smith_suggesting_insertions,45.764400
inventory_list_suggesting_deletions_inventory_list_suggesting_mixed_edits,45.396000
helvetica_font_demo_style_default_missing_hr_onboarding_checklist_table,45.177200
support_tickets_table_support_tickets_summary_id_paraid_overflow,44.862300
quarterly_performance_report_table_red_bold_heading_demo_style_default_missing,44.780100
clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions,44.627700
insert_link_demo_id_paraid_overflow_inventory_list_suggesting_deletions,44.624600
superscript_demo_style_default_missing_support_tickets_table,44.555000
project_tasks_suggesting_insertions_q1_sales_summary_table_2,44.482900
marketing_strategy_2026_suggesting_insertions_meeting_agenda_table_2,44.473500
meeting_agenda_table_meeting_minutes_id_paraid_overflow,44.324800
book_catalog_id_paraid_overflow_book_catalog_table,44.125800
employee_directory_table_2_employee_directory_table,43.393800
track_changes_suggesting_title_id_paraid_overflow_training_materials_onboarding_program_suggesting_insertions,43.355400
word_tolerated_duplicate_ppr_word_tolerated_misplaced_link,43.322500
meeting_agenda_table_2_meeting_agenda_table,43.312700
q1_sales_summary_table_2_q1_sales_summary_table,43.244500
quarterly_performance_report_table_2_quarterly_performance_report_table,42.982800
project_tasks_suggesting_insertions_2_project_tasks_suggesting_insertions,42.390800
word_tolerated_misplaced_uipriority_word_tolerated_orphan_comment,41.086600
word_tolerated_misplaced_pgsz_word_tolerated_misplaced_uipriority,40.406600
word_tolerated_misplaced_link_word_tolerated_misplaced_pgsz,39.868900
word_clean_strict01_word_tolerated_broken_media_rel,38.645700
eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2,38.000100
verdana_italic_centered_demo_id_paraid_overflow_word_clean_strict01,37.713800
double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits,37.262100
sample_document_word_repair_of_our_output_word_repaired_small_font_size_demo_id_paraid_overflow,37.006700
sales_report_january_2026_suggesting_insertions_sample_document_afterword_repaired_word_repaired,35.989400
sample_document_really_repaired_word_repaired_sample_document_word_repair_of_our_output_iter2_word_repaired,35.142400
sample_document_word_repair_of_our_output_iter2_word_repaired_sample_document_word_repair_of_our_output_word_repaired,35.141200
sample_document_afterword_repaired_word_repaired_sample_document_really_repaired_word_repaired,35.139700
docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow,35.123800
i_am_sharing_microsoft_word_vs_google_docs_comprehensive_proof_with_you_increase_indent_demo_id_paraid_overflow,35.088300
document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal,34.809900
docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition,34.558900
docx_lots_of_comments_addition_docx_lots_of_comments,34.548100
hr_onboarding_checklist_table_i_am_sharing_microsoft_word_vs_google_docs_comprehensive_proof_with_you,33.997500
docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition,33.882500
docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline,33.851200
docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal,33.653100
docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline,33.334400
