pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow,bold_and_underline_combo_id_paraid_overflow,bold_italic_combined_demo_id_paraid_overflow,redline_only,bold_and_underline_combo_id_paraid_overflow.docx,bold_italic_combined_demo_id_paraid_overflow.docx,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_redline.docx,,MISSING,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_redline.pdf,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow,bold_italic_combined_demo_id_paraid_overflow,bold_italic_underline_demo_id_paraid_overflow,redline_only,bold_italic_combined_demo_id_paraid_overflow.docx,bold_italic_underline_demo_id_paraid_overflow.docx,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_redline.docx,,MISSING,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_redline.pdf,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow,bold_italic_underline_demo_id_paraid_overflow,bold_red_text_combo_id_paraid_overflow,redline_only,bold_italic_underline_demo_id_paraid_overflow.docx,bold_red_text_combo_id_paraid_overflow.docx,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_redline.docx,,MISSING,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_redline.pdf,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing,bold_red_text_combo_id_paraid_overflow,bold_superscript_demo_style_default_missing,redline_only,bold_red_text_combo_id_paraid_overflow.docx,bold_superscript_demo_style_default_missing.docx,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_redline.docx,,MISSING,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_redline.pdf,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_word_redline_accepted.pdf,accepted_docx
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2,bold_superscript_demo_style_default_missing,bold_text_formatting_demo_id_paraid_overflow_2,redline_only,bold_superscript_demo_style_default_missing.docx,bold_text_formatting_demo_id_paraid_overflow_2.docx,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_redline.docx,,MISSING,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_redline.pdf,bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2_word_redline_accepted.pdf,accepted_docx
bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow,bold_text_formatting_demo_id_paraid_overflow_2,bold_text_formatting_demo_id_paraid_overflow,redline_only,bold_text_formatting_demo_id_paraid_overflow_2.docx,bold_text_formatting_demo_id_paraid_overflow.docx,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_redline.docx,,MISSING,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_redline.pdf,bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow,bold_text_formatting_demo_id_paraid_overflow,bold_underline_combined_demo_id_paraid_overflow,redline_only,bold_text_formatting_demo_id_paraid_overflow.docx,bold_underline_combined_demo_id_paraid_overflow.docx,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_redline.docx,,MISSING,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_redline.pdf,bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow,bold_underline_combined_demo_id_paraid_overflow,bold_underline_highlight_demo_id_paraid_overflow,redline_only,bold_underline_combined_demo_id_paraid_overflow.docx,bold_underline_highlight_demo_id_paraid_overflow.docx,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_redline.docx,,MISSING,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_redline.pdf,bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow,bold_underline_highlight_demo_id_paraid_overflow,book_catalog_id_paraid_overflow,redline_only,bold_underline_highlight_demo_id_paraid_overflow.docx,book_catalog_id_paraid_overflow.docx,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_redline.docx,,MISSING,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_redline.pdf,bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
book_catalog_id_paraid_overflow_book_catalog_table,book_catalog_id_paraid_overflow,book_catalog_table,redline_only,book_catalog_id_paraid_overflow.docx,book_catalog_table.docx,book_catalog_id_paraid_overflow_book_catalog_table_redline.docx,,MISSING,book_catalog_id_paraid_overflow_book_catalog_table_redline.pdf,book_catalog_id_paraid_overflow_book_catalog_table_word_redline_accepted.pdf,accepted_docx
book_catalog_table_budget_report_q1_2026_suggesting_insertions,book_catalog_table,budget_report_q1_2026_suggesting_insertions,redline_only,book_catalog_table.docx,budget_report_q1_2026_suggesting_insertions.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_redline.docx,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline.docx,MISSING,book_catalog_table_budget_report_q1_2026_suggesting_insertions_redline.pdf,book_catalog_table_budget_report_q1_2026_suggesting_insertions_word_redline_accepted.pdf,accepted_docx
budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow,budget_report_q1_2026_suggesting_insertions,bullet_list_bold_demo_id_paraid_overflow,redline_only,budget_report_q1_2026_suggesting_insertions.docx,bullet_list_bold_demo_id_paraid_overflow.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_redline.docx,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline.docx,MISSING,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_redline.pdf,budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow,bullet_list_bold_demo_id_paraid_overflow,bullet_list_demo_id_paraid_overflow,redline_only,bullet_list_bold_demo_id_paraid_overflow.docx,bullet_list_demo_id_paraid_overflow.docx,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_redline.docx,,MISSING,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_redline.pdf,bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow,bullet_list_demo_id_paraid_overflow,calibri_bold_italic_demo_id_paraid_overflow,redline_only,bullet_list_demo_id_paraid_overflow.docx,calibri_bold_italic_demo_id_paraid_overflow.docx,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_redline.docx,,MISSING,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_redline.pdf,bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2,calibri_bold_italic_demo_id_paraid_overflow,calibri_font_demo_id_paraid_overflow_2,redline_only,calibri_bold_italic_demo_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_2.docx,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_redline.docx,,MISSING,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_redline.pdf,calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2_word_redline_accepted.pdf,accepted_docx
calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow,calibri_font_demo_id_paraid_overflow_2,calibri_font_demo_id_paraid_overflow,redline_only,calibri_font_demo_id_paraid_overflow_2.docx,calibri_font_demo_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_redline.docx,,MISSING,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_redline.pdf,calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow,calibri_font_demo_id_paraid_overflow,calibri_heading_2_right_id_paraid_overflow,redline_only,calibri_font_demo_id_paraid_overflow.docx,calibri_heading_2_right_id_paraid_overflow.docx,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_redline.docx,,MISSING,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_redline.pdf,calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow,calibri_heading_2_right_id_paraid_overflow,center_aligned_bold_text_id_paraid_overflow,redline_only,calibri_heading_2_right_id_paraid_overflow.docx,center_aligned_bold_text_id_paraid_overflow.docx,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_redline.docx,,MISSING,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_redline.pdf,calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2,center_aligned_bold_text_id_paraid_overflow,center_alignment_demo_id_paraid_overflow_2,redline_only,center_aligned_bold_text_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_2.docx,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_redline.docx,,MISSING,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_redline.pdf,center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2_word_redline_accepted.pdf,accepted_docx
center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow,center_alignment_demo_id_paraid_overflow_2,center_alignment_demo_id_paraid_overflow,redline_only,center_alignment_demo_id_paraid_overflow_2.docx,center_alignment_demo_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_redline.docx,,MISSING,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_redline.pdf,center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow,center_alignment_demo_id_paraid_overflow,center_bold_demo_id_paraid_overflow,redline_only,center_alignment_demo_id_paraid_overflow.docx,center_bold_demo_id_paraid_overflow.docx,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_redline.docx,,MISSING,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_redline.pdf,center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow,center_bold_demo_id_paraid_overflow,clear_formatting_demo_id_paraid_overflow,redline_only,center_bold_demo_id_paraid_overflow.docx,clear_formatting_demo_id_paraid_overflow.docx,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_redline.docx,,MISSING,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_redline.pdf,center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
clear_formatting_demo_id_paraid_overflow_comments,clear_formatting_demo_id_paraid_overflow,comments,redline_only,clear_formatting_demo_id_paraid_overflow.docx,comments.docx,,clear_formatting_demo_id_paraid_overflow_comments_word_redline.docx,MISSING,clear_formatting_demo_id_paraid_overflow_comments_redline.pdf,clear_formatting_demo_id_paraid_overflow_comments_word_redline_accepted.pdf,accepted_docx
clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions,clear_formatting_demo_id_paraid_overflow,contract_review_suggesting_insertions,redline_only,clear_formatting_demo_id_paraid_overflow.docx,contract_review_suggesting_insertions.docx,clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions_redline.docx,,MISSING,clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions_redline.pdf,MISSING,accepted_docx; pdf_accepted
comments_complex_style_attr,comments,complex_style_attr,redline_only,comments.docx,complex_style_attr.docx,,comments_complex_style_attr_word_redline.docx,MISSING,comments_complex_style_attr_redline.pdf,comments_complex_style_attr_word_redline_accepted.pdf,accepted_docx
complex_style_attr_contract_review_suggesting_insertions,complex_style_attr,contract_review_suggesting_insertions,redline_only,complex_style_attr.docx,contract_review_suggesting_insertions.docx,,complex_style_attr_contract_review_suggesting_insertions_word_redline.docx,MISSING,complex_style_attr_contract_review_suggesting_insertions_redline.pdf,complex_style_attr_contract_review_suggesting_insertions_word_redline_accepted.pdf,accepted_docx
contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits,contract_review_suggesting_insertions,contract_review_suggesting_mixed_edits,redline_only,contract_review_suggesting_insertions.docx,contract_review_suggesting_mixed_edits.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_redline.docx,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline.docx,MISSING,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_redline.pdf,contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits_word_redline_accepted.pdf,accepted_docx
contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions,contract_review_suggesting_mixed_edits,customer_satisfaction_survey_q4_suggesting_insertions,redline_only,contract_review_suggesting_mixed_edits.docx,customer_satisfaction_survey_q4_suggesting_insertions.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_redline.docx,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline.docx,MISSING,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_redline.pdf,contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions_word_redline_accepted.pdf,accepted_docx
customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow,customer_satisfaction_survey_q4_suggesting_insertions,document_100_ultimate_demo_id_paraid_overflow,redline_only,customer_satisfaction_survey_q4_suggesting_insertions.docx,document_100_ultimate_demo_id_paraid_overflow.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_redline.docx,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline.docx,MISSING,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_redline.pdf,customer_satisfaction_survey_q4_suggesting_insertions_document_100_ultimate_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal,document_100_ultimate_demo_id_paraid_overflow,docx_lots_of_comments_addition_redline_addition_v_removal,redline_only,document_100_ultimate_demo_id_paraid_overflow.docx,docx_lots_of_comments_addition_redline_addition_v_removal.docx,document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline.docx,,MISSING,document_100_ultimate_demo_id_paraid_overflow_docx_lots_of_comments_addition_redline_addition_v_removal_redline.pdf,MISSING,accepted_docx; pdf_accepted
document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow,document_100_ultimate_demo_id_paraid_overflow,double_spacing_bold_demo_id_paraid_overflow,redline_only,document_100_ultimate_demo_id_paraid_overflow.docx,double_spacing_bold_demo_id_paraid_overflow.docx,,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline.docx,MISSING,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_redline.pdf,document_100_ultimate_demo_id_paraid_overflow_double_spacing_bold_demo_id_paraid_overflow_word_redline_accepted.pdf,accepted_docx
docx_lots_of_comments_addition_docx_lots_of_comments,docx_lots_of_comments_addition,docx_lots_of_comments,redline_only,docx_lots_of_comments_addition.docx,docx_lots_of_comments.docx,docx_lots_of_comments_addition_docx_lots_of_comments_redline.docx,,MISSING,docx_lots_of_comments_addition_docx_lots_of_comments_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline,docx_lots_of_comments_addition_redline_addition_v_removal,docx_lots_of_comments_addition_redline,redline_only,docx_lots_of_comments_addition_redline_addition_v_removal.docx,docx_lots_of_comments_addition_redline.docx,docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline.docx,,MISSING,docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition,docx_lots_of_comments_addition_redline,docx_lots_of_comments_addition_removal_redline_removal_v_addition,redline_only,docx_lots_of_comments_addition_redline.docx,docx_lots_of_comments_addition_removal_redline_removal_v_addition.docx,docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline.docx,,MISSING,docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition,docx_lots_of_comments_addition_removal,docx_lots_of_comments_addition,redline_only,docx_lots_of_comments_addition_removal.docx,docx_lots_of_comments_addition.docx,docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline.docx,,MISSING,docx_lots_of_comments_addition_removal_docx_lots_of_comments_addition_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal,docx_lots_of_comments_addition_removal_redline,docx_lots_of_comments_addition_removal,redline_only,docx_lots_of_comments_addition_removal_redline.docx,docx_lots_of_comments_addition_removal.docx,docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal_redline.docx,,MISSING,docx_lots_of_comments_addition_removal_redline_docx_lots_of_comments_addition_removal_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline,docx_lots_of_comments_addition_removal_redline_removal_v_addition,docx_lots_of_comments_addition_removal_redline,redline_only,docx_lots_of_comments_addition_removal_redline_removal_v_addition.docx,docx_lots_of_comments_addition_removal_redline.docx,docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline_redline.docx,,MISSING,docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline_redline.pdf,MISSING,accepted_docx; pdf_accepted
docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow,docx_lots_of_comments,double_spacing_bold_demo_id_paraid_overflow,redline_only,docx_lots_of_comments.docx,double_spacing_bold_demo_id_paraid_overflow.docx,docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow_redline.docx,,MISSING,docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow_redline.pdf,MISSING,accepted_docx; pdf_accepted
double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits,double_spacing_bold_demo_id_paraid_overflow,eigenpal_docx_editor_suggesting_mixed_edits,redline_only,double_spacing_bold_demo_id_paraid_overflow.docx,eigenpal_docx_editor_suggesting_mixed_edits.docx,double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits_redline.docx,,MISSING,double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits_redline.pdf,MISSING,accepted_docx; pdf_accepted
eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2,eigenpal_docx_editor_suggesting_mixed_edits,employee_directory_table_2,redline_only,eigenpal_docx_editor_suggesting_mixed_edits.docx,employee_directory_table_2.docx,eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2_redline.docx,,MISSING,eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2_redline.pdf,MISSING,accepted_docx; pdf_accepted
employee_directory_table_2_employee_directory_table,employee_directory_table_2,employee_directory_table,redline_only,employee_directory_table_2.docx,employee_directory_table.docx,employee_directory_table_2_employee_directory_table_redline.docx,,MISSING,employee_directory_table_2_employee_directory_table_redline.pdf,employee_directory_table_2_employee_directory_table_word_redline_accepted.pdf,accepted_docx
